DATE,INDPRO
1/1/1999,89.8594
2/1/1999,90.3386
3/1/1999,90.4819
4/1/1999,90.7274
5/1/1999,91.352
6/1/1999,91.1994
7/1/1999,91.7766
8/1/1999,92.1629
9/1/1999,91.774
10/1/1999,92.9979
11/1/1999,93.4371
12/1/1999,94.1593
1/1/2000,94.1758
2/1/2000,94.4557
3/1/2000,94.798
4/1/2000,95.4808
5/1/2000,95.6435
6/1/2000,95.7353
7/1/2000,95.5906
8/1/2000,95.3112
9/1/2000,95.679
10/1/2000,95.397
11/1/2000,95.4229
12/1/2000,95.1573
1/1/2001,94.5448
2/1/2001,93.9398
3/1/2001,93.7201
4/1/2001,93.4469
5/1/2001,92.876
6/1/2001,92.3208
7/1/2001,91.7933
8/1/2001,91.6795
9/1/2001,91.3289
10/1/2001,90.9315
11/1/2001,90.486
12/1/2001,90.5073
1/1/2002,91.0794
2/1/2002,91.0553
3/1/2002,91.798
4/1/2002,92.1771
5/1/2002,92.5668
6/1/2002,93.4476
7/1/2002,93.2237
8/1/2002,93.2359
9/1/2002,93.3654
10/1/2002,93.0834
11/1/2002,93.5693
12/1/2002,93.1103
1/1/2003,93.8198
2/1/2003,93.9532
3/1/2003,93.7358
4/1/2003,93.0657
5/1/2003,93.0918
6/1/2003,93.2476
7/1/2003,93.6582
8/1/2003,93.5246
9/1/2003,94.0751
10/1/2003,94.2079
11/1/2003,94.9338
12/1/2003,94.8662
1/1/2004,95.1085
2/1/2004,95.6847
3/1/2004,95.2088
4/1/2004,95.6385
5/1/2004,96.3966
6/1/2004,95.6019
7/1/2004,96.3385
8/1/2004,96.4095
9/1/2004,96.4907
10/1/2004,97.4094
11/1/2004,97.6137
12/1/2004,98.3318
1/1/2005,98.7845
2/1/2005,99.4639
3/1/2005,99.3061
4/1/2005,99.4734
5/1/2005,99.6033
6/1/2005,99.9853
7/1/2005,99.6692
8/1/2005,99.9435
9/1/2005,98.0779
10/1/2005,99.3149
11/1/2005,100.3216
12/1/2005,100.9437
1/1/2006,101.0627
2/1/2006,101.0669
3/1/2006,101.2751
4/1/2006,101.6813
5/1/2006,101.579
6/1/2006,101.9693
